skill_id,name,description,preparation,duration
1,Aqueous Blessing (I),Moderately increases the effectiveness of Water skills for all allies.,100,100
2,Aqueous Blessing (II),Greatly increases the effectiveness of Water skills for all allies.,90,110
3,Aqueous Blessing (III),Massively increases the effectiveness of Water skills for all allies.,80,120
4,Aqueous Blessing (III),Massively increases the effectiveness of Water skills for all allies.,120,120
5,Armor of Lamentation (I),Moderately lower defense (physical and magical) for all enemies.,70,0
6,Armor of Lamentation (II),Greatly lower defense (physical and magical) for all enemies.,60,0
7,Armor of Lamentation (III),Massively lower defense (physical and magical) for all enemies.,50,0
8,Armor of Lamentation (III),Massively lower defense (physical and magical) for all enemies.,75,0
9,Begrudging Blade (I),Moderately lower attack (physical and magical) for all enemies.,70,0
10,Begrudging Blade (II),Greatly lower attack (physical and magical) for all enemies.,60,0
11,Begrudging Blade (III),Massively lower attack (physical and magical) for all enemies.,60,0
12,Begrudging Blade (III),Massively lower attack (physical and magical) for all enemies.,75,0
13,Begrudging Sword (II),Greatly lower attack (physical and magical) for all enemies. Greater effect with higher enemy stacks.,60,60
14,Begrudging Sword (III),Massively lower attack (physical and magical) for all enemies. Greater effect with higher enemy stacks.,50,50
15,Blessed Armor (I),Moderately raise defense (physical and magical) for all surviving allies.,70,0
16,Blessed Armor (II),Greatly raise defense (physical and magical) for all surviving allies.,60,0
17,Blessed Armor (III),Massively raise defense (physical and magical) for all surviving allies.,60,0
18,Blessed Armor (III),Massively raise defense (physical and magical) for all surviving allies.,75,0
19,Combustive Blessing (I),Moderately increases the effectiveness of Fire skills for all allies.,100,100
20,Combustive Blessing (II),Greatly increases the effectiveness of Fire skills for all allies.,90,110
21,Combustive Blessing (III),Massively increases the effectiveness of Fire skills for all allies.,80,120
22,Combustive Blessing (III),Massively increases the effectiveness of Fire skills for all allies.,120,120
23,Cry of the Damned (I),Moderately reduce the effectiveness of enemy Water attack skills. Effect ends when lifeforce is 1/2 or lower than enemy's lifeforce.,70,80
24,Cry of the Damned (II),Greatly reduce the effectiveness of enemy Water attack skills. Effect ends when lifeforce is 1/2 or lower than enemy's lifeforce.,60,90
25,Cry of the Damned (III),Massively reduce the effectiveness of enemy Water attack skills. Effect ends when lifeforce is 1/2 or lower than enemy's lifeforce.,50,100
26,Defiant Roar (I),Moderately increases the effect of attack skills for all front-line allies when at a disadvantage and when comboing.,80,100
27,Defiant Roar (II),Greatly increases the effect of attack skills for all front-line allies when at a disadvantage and when comboing.,70,110
28,Defiant Roar (III),Massively increases the effect of attack skills for all front-line allies when at a disadvantage and when comboing.,60,120
29,Defiant Roar (III),Massively increases the effect of attack skills for all front-line allies when at a disadvantage and when comboing.,90,120
30,Destruction of Truth (I),Moderately lower magical defense for all enemies.,90,0
31,Destruction of Truth (II),Greatly lower magical defense for all enemies.,80,0
32,Destruction of Truth (III),Massively lower magical defense for all enemies.,70,0
