skill_id,name,description,sp_cost
1,Fifth Form (Wicked Ice),Deal massive physical damage to 1 enemy. Increase own physical ATK and physical DEF by a small amountand Increase Combo Count by +5 when comboing.,20
2,Type 3 (Emerald Lightning),"Deal great magical damage to 1 enemy, and increase own magical ATK and magical DEF by a small amount.",19
3,Type 3 (Catastrophpic Flame),"Deal great physical damage to 1 enemy, and increase own physical ATK and physical DEF by a small amount.",19
4,Type 3 (Wicked Ice),"Deal great physical damage to 1 enemy, and increase own physical ATK and physical DEF by a small amount.",19
5,Water Technique of the Twin Songs (III),Deal great magical damage to 1 enemy. Increase Combo Count by +5 when comboing.,20
6,Flame Technique of the Twin Songs (III),Deal great magical damage to 1-2 enemies. Increase Combo Count by +5 when comboing.,23
7,Icicle of Leeching (II),"Deal moderate physical damage to 1 enemy, and recover a small amount of own HP.",17
8,Icicle of Leeching (III),"Deal great physical damage to 1 enemy, and recover a small amount of own HP.",19
9,Inferno of Leeching (I),"Deal small physical damage to 1-2 enemies, and recover a small amount of own HP.",20
10,Inferno of Leeching (III),"Deal great physical damage to 1-2 enemies, and recover a small amount of own HP.",22
11,Flames of Leeching (III),"Deal great physical damage to 1 enemy, and recover a small amount of own HP.",19
12,Lightning of Leeching (I),"Deal small physical damage to 1-2 enemies, and recover a small amount of own HP.",20
13,Tornado of Leeching (II),"Deal moderate physical damage to 1 enemy, and recover a small amount of own HP.",17
14,Tornado of Leeching (III),"Deal great physical damage to 1 enemy, and recover a small amount of own HP.",19
15,Evil Hail of Leeching (III),"Deal great magical damage to 1 enemy, and recover a small amount of own HP.",19
16,Evil Blaze of Leeching (I),"Deal small magical damage to 1-2 enemies, and recover a small amount of own HP.",20
17,Evil Blaze of Leeching (III),"Deal great magical damage to 1-2 enemies, and recover a small amount of own HP.",22
18,Evil Ember of Leeching (III),"Deal great magical damage to 1 enemy, and recover a small amount of own HP.",19
19,Evil Thunder of Leeching (I),"Deal small magical damage to 1-2 enemies, and recover a small amount of own HP.",20
20,Evil Hail of Leeching (I),"Deal small magical damage to 1-2 enemies, and recover a small amount of own HP.",20
21,Evil Gust of Leeching (II),"Deal moderate magical damage to 1 enemy, and recover a small amount of own HP.",17
22,Evil Gust of Leeching (III),"Deal great magical damage to 1 enemy, and recover a small amount of own HP.",19
23,Vampiric Scar (III),"Deal great magical damage to 1 enemy, and recover 10 SP.",20
24,Conflagration of Revenge (III),"Deal great physical damage to 1-2 enemies, 1.5x effect when at a disadvantage.",22
25,Evil Hail of Vengeance (III),Deal great magical damage to 1-2 enemies. Always hits 2 enemies when at a disadvantage.,23
26,Blaze of Hatred (III),"Deal great physical damage to 1 enemy, 1.5x effect when at a disadvantage.",19
27,Crimson Lotus of Hatred (III),"Deal great magical damage to 1 enemy, 1.5x effect when at a disadvantage.",19
28,Flash of Hatred (III),"Deal great magical damage to 1 enemy, 1.5x effect when at a disadvantage.",19
29,Icicle of Assault (III),"Deal great physical damage to 1 enemy, and increase own physical ATK by a small amount.",19
30,Icicle of Assault (IV),"Deal massive physical damage to 1 enemy, and increase own physical ATK by a small amount.",20
